Retailer,Retailer_ID,Invoice_Date,Region,State,City,Product,Sales_Method,Price_per_Unit,Units_Sold,Total_Sales,Operating_Profit,
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,In-store,50,"1,200",60000,300000,
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,In-store,50,"1,000",500000,150000,
Foot Locker,1185732,3/1/2020,Northeast,New York,New York,Women's Street Footwear,In-store,40,"1,000",400000,140000,
Foot Locker,1185732,4/1/2020,Northeast,New York,New York,Women's Athletic Footwear,In-store,45,850,382500,133875,
Foot Locker,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,In-store,60,900,540000,162000,
Foot Locker,1185732,6/1/2020,Northeast,New York,New York,Women's Apparel,In-store,50,"1,000",500000,125000,
Foot Locker,1185732,7/1/2020,Northeast,New York,New York,Men's Street Footwear,In-store,50,"1,250",625000,312500,
Foot Locker,1185732,8/1/2020,Northeast,New York,New York,Men's Athletic Footwear,Outlet,50,900,450000,135000,
Foot Locker,1185732,21-01-2020,Northeast,New York,New York,Women's Street Footwear,Outlet,40,950,380000,133000,
Foot Locker,1185732,22-01-2020,Northeast,New York,New York,Women's Athletic Footwear,Outlet,45,825,371250,129937.5,
Foot Locker,1185732,23-01-2020,Northeast,New York,New York,Men's Apparel,Outlet,60,900,540000,162000,
Foot Locker,1185732,24-01-2020,Northeast,New York,New York,Women's Apparel,Outlet,50,"1,000",500000,125000,
Foot Locker,1185732,25-01-2020,Northeast,New York,New York,Men's Street Footwear,Outlet,50,"1,220",610000,305000,
Foot Locker,1185732,26-01-2020,Northeast,New York,New York,Men's Athletic Footwear,Outlet,50,925,462500,138750,
Foot Locker,1185732,27-01-2020,Northeast,New York,New York,Women's Street Footwear,Outlet,40,950,380000,133000,
Foot Locker,1185732,28-01-2020,Northeast,New York,New York,Women's Athletic Footwear,Outlet,45,800,360000,126000,
Foot Locker,1185732,29-01-2020,Northeast,New York,New York,Men's Apparel,Outlet,60,850,510000,153000,
Foot Locker,1185732,30-01-2020,Northeast,New York,New York,Women's Apparel,Outlet,50,950,475000,118750,
Foot Locker,1185732,31-01-2020,Northeast,New York,New York,Men's Street Footwear,Outlet,50,"1,200",600000,300000,
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,Outlet,50,900,450000,135000,
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,Outlet,40,900,360000,126000,
Foot Locker,1185732,3/2/2020,Northeast,New York,New York,Women's Athletic Footwear,Outlet,45,825,371250,129937.5,
Foot Locker,1185732,4/2/2020,Northeast,New York,New York,Men's Apparel,Outlet,60,825,495000,148500,
Foot Locker,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,Outlet,50,950,475000,118750,
Foot Locker,1185732,6/2/2020,Northeast,New York,New York,Men's Street Footwear,Outlet,60,"1,220",732000,366000,
Foot Locker,1185732,7/2/2020,Northeast,New York,New York,Men's Athletic Footwear,Outlet,55,925,508750,152625,
Foot Locker,1185732,8/2/2020,Northeast,New York,New York,Women's Street Footwear,Outlet,50,900,450000,157500,
Foot Locker,1185732,9/2/2020,Northeast,New York,New York,Women's Athletic Footwear,Outlet,50,850,425000,148750,
Foot Locker,1185732,10/2/2020,Northeast,New York,New York,Men's Apparel,Outlet,60,875,525000,157500,
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,Outlet,65,"1,000",650000,162500,
Foot Locker,1185732,4/3/2020,Northeast,New York,New York,Men's Street Footwear,Outlet,60,"1,250",750000,375000,
Foot Locker,1185732,5/3/2020,Northeast,New York,New York,Men's Athletic Footwear,Outlet,55,"1,000",550000,165000,
Foot Locker,1185732,6/3/2020,Northeast,New York,New York,Women's Street Footwear,Outlet,50,925,462500,161875,
Foot Locker,1185732,7/3/2020,Northeast,New York,New York,Women's Athletic Footwear,Outlet,50,900,450000,157500,
Foot Locker,1185732,8/3/2020,Northeast,New York,New York,Men's Apparel,Outlet,60,900,540000,162000,
Foot Locker,1185732,9/3/2020,Northeast,New York,New York,Women's Apparel,Outlet,65,"1,050",682500,170625,
Foot Locker,1185732,10/3/2020,Northeast,New York,New York,Men's Street Footwear,Outlet,60,"1,275",765000,382500,
Foot Locker,1185732,11/3/2020,Northeast,New York,New York,Men's Athletic Footwear,Outlet,55,"1,025",563750,169125,
Foot Locker,1185732,12/3/2020,Northeast,New York,New York,Women's Street Footwear,Outlet,50,950,475000,166250,
Foot Locker,1185732,13-03-2020,Northeast,New York,New York,Women's Athletic Footwear,Outlet,50,900,450000,157500,
Foot Locker,1185732,14-03-2020,Northeast,New York,New York,Men's Apparel,Outlet,60,925,555000,166500,
Foot Locker,1185732,15-03-2020,Northeast,New York,New York,Women's Apparel,Outlet,65,"1,100",715000,178750,
Foot Locker,1185732,16-03-2020,Northeast,New York,New York,Men's Street Footwear,Outlet,60,"1,250",750000,375000,
Foot Locker,1185732,17-03-2020,Northeast,New York,New York,Men's Athletic Footwear,Outlet,55,"1,025",563750,169125,
Foot Locker,1185732,18-03-2020,Northeast,New York,New York,Women's Street Footwear,Outlet,50,950,475000,166250,
Foot Locker,1185732,31-03-2020,Northeast,New York,New York,Women's Athletic Footwear,Outlet,50,925,462500,161875,
Walmart,1185732,17-04-2020,Northeast,New York,New York,Men's Apparel,Outlet,60,900,540000,162000,
Walmart,1185732,18-04-2020,Northeast,New York,New York,Women's Apparel,Outlet,65,"1,075",698750,174687.5,
Walmart,1185732,19-04-2020,Northeast,New York,New York,Men's Street Footwear,Outlet,60,"1,200",720000,360000,
Walmart,1185732,20-04-2020,Northeast,New York,New York,Men's Athletic Footwear,Outlet,55,"1,000",550000,165000,
Walmart,1185732,21-04-2020,Northeast,New York,New York,Women's Street Footwear,Outlet,50,925,462500,161875,
Walmart,1185732,22-04-2020,Northeast,New York,New York,Women's Athletic Footwear,Outlet,50,900,450000,157500,
Walmart,1185732,23-04-2020,Northeast,New York,New York,Men's Apparel,Outlet,60,900,540000,162000,
Walmart,1185732,24-04-2020,Northeast,New York,New York,Women's Apparel,Outlet,65,"1,000",650000,162500,
Walmart,1185732,25-04-2020,Northeast,New York,New York,Men's Apparel,Outlet,65,875,568750,170625,
Walmart,1185732,26-04-2020,Northeast,New York,New York,Women's Apparel,Outlet,70,"1,000",700000,175000,
Walmart,1185732,27-04-2020,Northeast,New York,New York,Men's Street Footwear,Outlet,65,"1,150",747500,373750,
Walmart,1185732,28-04-2020,Northeast,New York,New York,Men's Athletic Footwear,Outlet,55,975,536250,160875,
Walmart,1185732,29-04-2020,Northeast,New York,New York,Women's Street Footwear,Outlet,55,920,506000,177100,
Walmart,1185732,30-04-2020,Northeast,New York,New York,Women's Athletic Footwear,Outlet,55,900,495000,173250,
Walmart,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,Outlet,65,875,568750,170625,
Walmart,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,Outlet,70,975,682500,170625,
Walmart,1185732,3/5/2020,Northeast,New York,New York,Men's Street Footwear,Outlet,65,"1,200",780000,390000,
Walmart,1185732,4/5/2020,Northeast,New York,New York,Men's Athletic Footwear,Outlet,55,"1,000",550000,165000,
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,Outlet,55,950,522500,182875,
Walmart,1185732,6/5/2020,Northeast,New York,New York,Women's Athletic Footwear,Outlet,55,900,495000,173250,
Walmart,1185732,7/5/2020,Northeast,New York,New York,Men's Apparel,Outlet,65,900,585000,175500,
Walmart,1185732,18-07-2020,Northeast,New York,New York,Women's Apparel,Outlet,70,"1,000",700000,175000,
Sports Direct,1197831,19-07-2020,Northeast,New York,New York,Men's Street Footwear,Outlet,25,900,225000,78750,
Sports Direct,1197831,20-07-2020,Northeast,New York,New York,Men's Athletic Footwear,Outlet,35,900,315000,110250,
Sports Direct,1197831,21-07-2020,Northeast,New York,New York,Women's Street Footwear,Outlet,35,700,245000,85750,
Sports Direct,1197831,22-07-2020,Northeast,New York,New York,Women's Athletic Footwear,Outlet,35,700,245000,110250,
Sports Direct,1197831,23-07-2020,South,Texas,Houston,Men's Apparel,Outlet,40,550,220000,66000,
Sports Direct,1197831,24-07-2020,South,Texas,Houston,Women's Apparel,Outlet,35,700,245000,122500,
Sports Direct,1197831,25-07-2020,South,Texas,Houston,Men's Street Footwear,Outlet,25,850,212500,74375,
