invoice_no,invoice_date,age,category,quantity,selling_price_per_unit,cost_price_per_unit,payment_method,region,state,shopping_mall
I138884,10/30/2016,28,Clothing,5,1500.4,1425.38,Credit Card,South,Kentucky,Kanyon
I317333,10/30/2016,21,Shoes,3,1800.51,1620.459,Debit Card,South,Kentucky,Viaport Outlet
I127801,10/30/2016,20,Clothing,1,300.08,295.06,Cash,West,California,Metrocity
I173702,10/30/2016,66,Shoes,5,3000.85,2900.765,Credit Card,South,Florida,Metropol AVM
I337046,10/30/2016,53,Books,4,60.6,45.45,Cash,South,Florida,Kanyon
I227836,10/30/2016,28,Clothing,5,1500.4,1475.38,Credit Card,West,Oregon,Viaport Outlet
I121056,10/30/2016,49,Cosmetics,1,40.66,35.462,Cash,West,California,Istinye Park
I293112,10/30/2016,32,Clothing,2,600.16,450.12,Credit Card,West,California,Mall of Istanbul
I293455,10/30/2016,69,Clothing,3,900.24,675.18,Credit Card,West,California,Metrocity
I326945,10/30/2016,60,Clothing,2,600.16,450.12,Credit Card,West,California,Kanyon
I306368,10/30/2016,36,Food & Beverage,2,10.46,8.322,Cash,West,California,Metrocity
I139207,10/30/2016,29,Books,8,15.15,15.105,Credit Card,West,Idaho,Zorlu Center
I640508,10/30/2016,67,Toys,4,143.36,144.688,Debit Card,South,North Carolina,Metrocity
I179802,10/30/2016,25,Clothing,2,600.16,550.12,Cash,West,Washington,Istinye Park
I336189,10/30/2016,67,Clothing,2,600.16,580.72,Credit Card,Central,Texas,Kanyon
I688768,10/30/2016,24,Shoes,5,3000.85,2700.765,Credit Card,Central,Texas,Viaport Outlet
I294687,10/30/2016,65,Books,2,30.3,27.21,Debit Card,Central,Iowa,Metrocity
I195744,10/30/2016,42,Food & Beverage,3,15.69,13.983,Credit Card,West,Idaho,Zorlu Center
I993048,10/30/2016,46,Clothing,2,600.16,450.12,Cash,West,California,Metropol AVM
I992454,10/30/2016,24,Toys,4,143.36,114.688,Cash,West,California,Istinye Park
I183746,10/30/2016,23,Clothing,1,300.08,225.06,Credit Card,West,Idaho,Zorlu Center
I412481,10/30/2016,27,Food & Beverage,1,5.23,3.661,Cash,Central,Iowa,Istinye Park
I823067,10/30/2016,52,Clothing,2,600.16,450.12,Credit Card,Central,Iowa,Istinye Park
I252275,10/30/2016,44,Technology,5,5250,4725,Cash,East,Pennsylvania,Kanyon
I174250,10/30/2016,42,Books,5,75.75,56.8125,Cash,West,Idaho,Metrocity
I195396,10/30/2016,51,Toys,2,71.68,50.176,Debit Card,West,California,Istinye Park
I196704,10/30/2016,25,Cosmetics,5,203.3,162.64,Credit Card,West,California,Mall of Istanbul
